,Total,department=General surgery,department=Thoracic surgery,department=Urology,department=Gynecology,P-value,Test
n,"6,388","4,930 (77.2%)","1,111 (17.4%)",117 (1.8%),230 (3.6%),,
casestart=0,"6,388 (100%)","4,930 (100%)","1,111 (100%)",117 (100%),230 (100%),,
caseend,"9,924.5 (6,194.5-15,072.75)","9,561.5 (5,995-15,545.5)","10,697 (7,431-14,107.5)","12,024 (5,265-14,307)","8,836.5 (6,291-11,861)",< 0.001,Kruskal-Wallis
icu_days,0 (0-0),0 (0-0),0 (0-1),0 (0-0),0 (0-0),< 0.001,Kruskal-Wallis
death_inhosp,57 (0.9%),44 (0.9%),10 (0.9%),1 (0.9%),2 (0.9%),1.000,Fisher's exact
age,59 (48-68),59 (48-68),61 (52-70),64 (58-72),45 (35-55),< 0.001,Kruskal-Wallis
sex=F,"3,145 (49.2%)","2,406 (48.8%)",493 (44.4%),16 (13.7%),230 (100%),< 0.001,Fisher's exact
sex=M,"3,243 (50.8%)","2,524 (51.2%)",618 (55.6%),101 (86.3%),0 (0%),,
height,162.2 (156.1-168.7),162.1 (156-168.7),163.2 (156.3-169.4),167.7 (161-172.5),159 (155.525-162.6),< 0.001,Kruskal-Wallis
weight,60.5 (53.3-68.7),60.3 (53-68.65),60.5 (53.8-68.5),68.8 (61.7-77.3),59.05 (52.85-65.938),< 0.001,Kruskal-Wallis
bmi,23.1 (20.9-25.4),23.1 (20.9-25.3),23 (20.9-25.3),24.9 (23.2-26.4),23.6 (21.025-25.975),< 0.001,Kruskal-Wallis
asa=1.0,"1,792 (28.1%)","1,460 (29.6%)",189 (17%),31 (26.5%),112 (48.7%),< 0.001,Fisher's exact
asa=2.0,"3,699 (57.9%)","2,769 (56.2%)",741 (66.7%),85 (72.6%),104 (45.2%),,
asa=3.0,703 (11%),560 (11.4%),134 (12.1%),1 (0.9%),8 (3.5%),,
asa=4.0,48 (0.8%),41 (0.8%),7 (0.6%),0 (0%),0 (0%),,
asa=6.0,13 (0.2%),2 (0%),11 (1%),0 (0%),0 (0%),,
